Node	GO terms	Odds Ratio	KEGG terms	Odds Ratio
Node 39	GO-BP-0015031:protein transport	11.76	KEGG-Module-M00235: Arginine/ornithine transport system	4.432
Node 39	GO-BP-0008104:protein localization	11.76	KEGG-Pathway-pae00460: Cyanoamino acid metabolism - Pseudomonas aeruginosa PAO1	3.95
Node 39	GO-BP-0060341:regulation of cellular localization	10.808	KEGG-Module-M00237: Branched-chain amino acid transport system	3.95
Node 39	GO-BP-0050708:regulation of protein secretion	10.808	KEGG-Pathway-pae02040: Flagellar assembly - Pseudomonas aeruginosa PAO1	3.713
Node 40	GO-BP-0008300:isoprenoid catabolic process	28.951	KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD	14.358
Node 40	GO-BP-0044242:cellular lipid catabolic process	21.709	KEGG-Pathway-pae00072: Synthesis and degradation of ketone bodies - Pseudomonas aeruginosa PAO1	9.261
Node 40	GO-BP-0016042:lipid catabolic process	21.709	KEGG-Pathway-pae00460: Cyanoamino acid metabolism - Pseudomonas aeruginosa PAO1	8.102
Node 40	GO-BP-0006720:isoprenoid metabolic process	21.709	KEGG-Module-M00049: Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	7.175
Node 40	GO-BP-0000160:phosphorelay signal transduction system	16.215	KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	6.191
Node 40	GO-BP-0035556:intracellular signal transduction	12.97	KEGG-Module-M00019: Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	6.149
Node 40	GO-BP-0007165:signal transduction	10.806	KEGG-Pathway-pae00627: Aminobenzoate degradation - Pseudomonas aeruginosa PAO1	5.777
Node 40	GO-BP-0023052:signaling	10.806	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	5.379
Node 40	GO-BP-0044700:single organism signaling	10.806	KEGG-Module-M00190: Iron(III) transport system	5.361
Node 40	GO-BP-0032885:regulation of polysaccharide biosynthetic process	10.766	KEGG-Module-M00024: Phenylalanine biosynthesis, chorismate => phenylalanine	5.361
Node 41	GO-BP-0006631:fatty acid metabolic process	14.058	KEGG-Module-M00178: Ribosome, bacteria	10.598
Node 41	GO-BP-1901701:cellular response to oxygen-containing compound	10.542	KEGG-Pathway-pae00562: Inositol phosphate metabolism - Pseudomonas aeruginosa PAO1	8.432
Node 41	GO-BP-0072330:monocarboxylic acid biosynthetic process	10.542	KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1	8.036
Node 41	GO-BP-0032885:regulation of polysaccharide biosynthetic process	10.542	KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia	7.025
Node 41	GO-BP-0032881:regulation of polysaccharide metabolic process	10.542	KEGG-Module-M00647: Multidrug resistance, efflux pump MexAB-OprM/SmeDEF/AcrAB-TolC	7.025
Node 41	GO-BP-0043255:regulation of carbohydrate biosynthetic process	10.542	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	6.02
Node 41	GO-CC-0016020:membrane	8.432	KEGG-Pathway-pae03410: Base excision repair - Pseudomonas aeruginosa PAO1	5.765
Node 41	GO-BP-0006109:regulation of carbohydrate metabolic process	8.432	KEGG-Pathway-pae00030: Pentose phosphate pathway - Pseudomonas aeruginosa PAO1	5.319
Node 41	GO-MF-0043169:cation binding	6.02	KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis - Pseudomonas aeruginosa PAO1	5.301
Node 41	GO-BP-0097237:cellular response to toxic substance	5.765	KEGG-Pathway-pae03018: RNA degradation - Pseudomonas aeruginosa PAO1	5.284
Node 42	GO-BP-0006644:phospholipid metabolic process	19.304	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	12.909
Node 42	GO-BP-0007155:cell adhesion	14.475	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	9.647
Node 42	GO-MF-0022891:substrate-specific transmembrane transporter activity	12.909	KEGG-Pathway-pae00562: Inositol phosphate metabolism - Pseudomonas aeruginosa PAO1	7.691
Node 42	GO-BP-0006527:arginine catabolic process	12.909	KEGG-Module-M00258: Putative ABC transport system	6.408
Node 42	GO-MF-0015075:ion transmembrane transporter activity	12.909	KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	5.524
Node 42	GO-MF-0008324:cation transmembrane transporter activity	12.909	KEGG-Pathway-pae00072: Synthesis and degradation of ketone bodies - Pseudomonas aeruginosa PAO1	4.804
Node 42	GO-MF-0009055:electron carrier activity	12.909	KEGG-Module-M00200: Putative sorbitol/mannitol transport system	4.79
Node 42	GO-BP-0009066:aspartate family amino acid metabolic process	12.822	KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa PAO1	4.006
Node 42	GO-CC-0031975:envelope	12.822	KEGG-Module-M00242: Zinc transport system	3.831
Node 42	GO-BP-0010043:response to zinc ion	12.822	KEGG-Module-M00018: Threonine biosynthesis, aspartate => homoserine => threonine	3.831
Node 43	GO-BP-0042120:alginic acid metabolic process	64.202	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	20.652
Node 43	GO-BP-0042121:alginic acid biosynthetic process	53.072	KEGG-Pathway-pae00052: Galactose metabolism - Pseudomonas aeruginosa PAO1	13.715
Node 43	GO-CC-0031975:envelope	30.984	KEGG-Pathway-pae00430: Taurine and hypotaurine metabolism - Pseudomonas aeruginosa PAO1	10.32
Node 43	GO-CC-0030313:cell envelope	30.984	KEGG-Module-M00210: Putative ABC transport system	10.284
Node 43	GO-CC-0030312:external encapsulating structure	30.984	KEGG-Module-M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	10.284
Node 43	GO-CC-0071944:cell periphery	30.984	KEGG-Module-M00021: Cysteine biosynthesis, serine => cysteine	10.284
Node 43	GO-BP-0044264:cellular polysaccharide metabolic process	16.52	KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism - Pseudomonas aeruginosa PAO1	6.993
Node 43	GO-BP-0044262:cellular carbohydrate metabolic process	15.767	KEGG-Module-M00258: Putative ABC transport system	6.853
Node 43	GO-BP-0005976:polysaccharide metabolic process	15.726	KEGG-Pathway-pae00450: Selenocompound metabolism - Pseudomonas aeruginosa PAO1	5.138
Node 43	GO-BP-0044723:single-organism carbohydrate metabolic process	14.672	KEGG-Pathway-pae00361: Chlorocyclohexane and chlorobenzene degradation - Pseudomonas aeruginosa PAO1	5.122
Node 44	GO-CC-0005737:cytoplasm	11.395	KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	16.284
Node 44	GO-CC-0044444:cytoplasmic part	11.395	KEGG-Module-M00200: Putative sorbitol/mannitol transport system	15.196
Node 44	GO-BP-0032885:regulation of polysaccharide biosynthetic process	11.395	KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)	15.076
Node 44	GO-BP-0032881:regulation of polysaccharide metabolic process	11.395	KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts	13.73
Node 44	GO-BP-0043255:regulation of carbohydrate biosynthetic process	11.395	KEGG-Module-M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	11.44
Node 44	GO-BP-0006109:regulation of carbohydrate metabolic process	9.114	KEGG-Module-M00010: Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	11.395
Node 44	GO-CC-0032991:macromolecular complex	7.594	KEGG-Pathway-pae00020: Citrate cycle (TCA cycle) - Pseudomonas aeruginosa PAO1	8.425
Node 44	GO-CC-0005622:intracellular	7.594	KEGG-Pathway-pae03018: RNA degradation - Pseudomonas aeruginosa PAO1	5.713
Node 44	GO-CC-0044424:intracellular part	7.594	KEGG-Module-M00240: Iron complex transport system	5.693
Node 44	GO-CC-0043234:protein complex	7.594	KEGG-Pathway-pae00052: Galactose metabolism - Pseudomonas aeruginosa PAO1	5.673
Node 45	GO-CC-0031975:envelope	32.032	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	42.883
Node 45	GO-CC-0030313:cell envelope	32.032	KEGG-Module-M00210: Putative ABC transport system	10.631
Node 45	GO-CC-0030312:external encapsulating structure	32.032	KEGG-Pathway-pae00564: Glycerophospholipid metabolism - Pseudomonas aeruginosa PAO1	7.571
Node 45	GO-CC-0071944:cell periphery	32.032	KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism - Pseudomonas aeruginosa PAO1	7.235
Node 45	GO-CC-0016020:membrane	28.583	KEGG-Module-M00190: Iron(III) transport system	5.294
Node 45	GO-BP-0043603:cellular amide metabolic process	21.433	KEGG-Module-M00222: Phosphate transport system	5.294
Node 45	GO-BP-0051186:cofactor metabolic process	21.351	KEGG-Module-M00335: Sec (secretion) system	4.72
Node 45	GO-BP-0051188:cofactor biosynthetic process	21.351	KEGG-Module-M00034: Methionine salvage pathway	4.247
Node 45	GO-BP-0072330:monocarboxylic acid biosynthetic process	21.351	KEGG-Module-M00126: Tetrahydrofolate biosynthesis, GTP => THF	4.247
Node 45	GO-BP-0009057:macromolecule catabolic process	14.177	KEGG-Module-M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	4.234
Node 46	GO-BP-0032409:regulation of transporter activity	12.211	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	43.498
Node 46	GO-BP-0009057:macromolecule catabolic process	12.211	KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia	18.442
Node 46	GO-MF-0016833:oxo-acid-lyase activity	9.157	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	9.157
Node 46	GO-BP-0042121:alginic acid biosynthetic process	7.368	KEGG-Pathway-pae00625: Chloroalkane and chloroalkene degradation - Pseudomonas aeruginosa PAO1	7.872
Node 46	GO-BP-0065008:regulation of biological quality	7.324	KEGG-Pathway-pae00040: Pentose and glucuronate interconversions - Pseudomonas aeruginosa PAO1	7.324
Node 46	GO-BP-0042592:homeostatic process	7.324	KEGG-Module-M00254: ABC-2 type transport system	6.886
Node 46	GO-BP-0000160:phosphorelay signal transduction system	7.324	KEGG-Module-M00023: Tryptophan biosynthesis, chorismate => tryptophan	5.229
Node 46	GO-BP-0051050:positive regulation of transport	6.886	KEGG-Module-M00122: Cobalamin biosynthesis, cobinamide => cobalamin	5.229
Node 46	GO-BP-0042120:alginic acid metabolic process	6.138	KEGG-Pathway-pae00910: Nitrogen metabolism - Pseudomonas aeruginosa PAO1	4.963
Node 46	GO-MF-0000988:protein binding transcription factor activity	6.102	KEGG-Module-M00240: Iron complex transport system	4.575
Node 47	GO-BP-0072330:monocarboxylic acid biosynthetic process	19.838	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	Inf
Node 47	GO-CC-0031975:envelope	13.176	KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD	29.763
Node 47	GO-CC-0030313:cell envelope	13.176	KEGG-Module-M00190: Iron(III) transport system	13.176
Node 47	GO-CC-0030312:external encapsulating structure	13.176	KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism - Pseudomonas aeruginosa PAO1	6.713
Node 47	GO-CC-0071944:cell periphery	13.176	KEGG-Pathway-pae00500: Starch and sucrose metabolism - Pseudomonas aeruginosa PAO1	5.678
Node 47	GO-BP-0002047:phenazine biosynthetic process	12.023	KEGG-Pathway-pae00627: Aminobenzoate degradation - Pseudomonas aeruginosa PAO1	5.298
Node 47	GO-BP-0017000:antibiotic biosynthetic process	12.023	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	4.936
Node 47	GO-BP-0017144:drug metabolic process	10.928	KEGG-Pathway-pae00363: Bisphenol degradation - Pseudomonas aeruginosa PAO1	4.922
Node 47	GO-BP-0016999:antibiotic metabolic process	10.928	KEGG-Pathway-pae00052: Galactose metabolism - Pseudomonas aeruginosa PAO1	4.922
Node 47	GO-MF-0016835:carbon-oxygen lyase activity	9.88	KEGG-Module-M00222: Phosphate transport system	4.922
Node 48	GO-BP-0031455:glycine betaine metabolic process	100.38	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	81.215
Node 48	GO-BP-0031457:glycine betaine catabolic process	100.38	KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia	19.989
Node 48	GO-BP-0042219:cellular modified amino acid catabolic process	47.185	KEGG-Pathway-pae00910: Nitrogen metabolism - Pseudomonas aeruginosa PAO1	7.272
Node 48	GO-BP-0006575:cellular modified amino acid metabolic process	28.3	KEGG-Module-M00299: Spermidine/putrescine transport system	6.631
Node 48	GO-BP-0006066:alcohol metabolic process	25.081	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	5.665
Node 48	GO-BP-0006577:amino-acid betaine metabolic process	25.081	KEGG-Pathway-pae00625: Chloroalkane and chloroalkene degradation - Pseudomonas aeruginosa PAO1	4.956
Node 48	GO-BP-0006579:amino-acid betaine catabolic process	25.081	KEGG-Pathway-pae00363: Bisphenol degradation - Pseudomonas aeruginosa PAO1	4.941
Node 48	GO-BP-0046164:alcohol catabolic process	19.917	KEGG-Pathway-pae00361: Chlorocyclohexane and chlorobenzene degradation - Pseudomonas aeruginosa PAO1	4.941
Node 48	GO-MF-0005515:protein binding	13.228	KEGG-Pathway-pae00052: Galactose metabolism - Pseudomonas aeruginosa PAO1	4.941
Node 48	GO-BP-0009057:macromolecule catabolic process	13.228	KEGG-Pathway-pae00471: D-Glutamine and D-glutamate metabolism - Pseudomonas aeruginosa PAO1	4.941
Node 49	GO-BP-0045892:negative regulation of transcription, DNA-templated	18.027	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	42.233
Node 49	GO-BP-1902679:negative regulation of RNA biosynthetic process	18.027	KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia	17.911
Node 49	GO-BP-2000113:negative regulation of cellular macromolecule biosynthetic process	18.027	KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	12.653
Node 49	GO-BP-0010629:negative regulation of gene expression	18.027	KEGG-Module-M00452: CusS-CusR (copper tolerance) two-component regulatory system	10.708
Node 49	GO-BP-0010558:negative regulation of macromolecule biosynthetic process	18.027	KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)	9.665
Node 49	GO-BP-0051253:negative regulation of RNA metabolic process	18.027	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	8.922
Node 49	GO-BP-0045934:negative regulation of nucleobase-containing compound metabolic process	18.027	KEGG-Pathway-pae00450: Selenocompound metabolism - Pseudomonas aeruginosa PAO1	7.646
Node 49	GO-BP-0051172:negative regulation of nitrogen compound metabolic process	15.449	KEGG-Module-M00335: Sec (secretion) system	6.689
Node 49	GO-BP-0031327:negative regulation of cellular biosynthetic process	15.449	KEGG-Module-M00082: Fatty acid biosynthesis, initiation	5.928
Node 49	GO-BP-0010605:negative regulation of macromolecule metabolic process	12.653	KEGG-Pathway-pae00020: Citrate cycle (TCA cycle) - Pseudomonas aeruginosa PAO1	5.564
Node 50	GO-BP-0007155:cell adhesion	16.146	KEGG-Pathway-pae00523: Polyketide sugar unit biosynthesis - Pseudomonas aeruginosa PAO1	14.297
Node 50	GO-BP-0022610:biological adhesion	12.915	KEGG-Module-M00019: Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	10.76
Node 50	GO-BP-0051248:negative regulation of protein metabolic process	10.721	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	10.76
Node 50	GO-CC-0016020:membrane	8.575	KEGG-Pathway-pae02040: Flagellar assembly - Pseudomonas aeruginosa PAO1	10.16
Node 50	GO-MF-0015077:monovalent inorganic cation transmembrane transporter activity	7.144	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	9.221
Node 50	GO-MF-0004129:cytochrome-c oxidase activity	7.144	KEGG-Pathway-pae00521: Streptomycin biosynthesis - Pseudomonas aeruginosa PAO1	7.144
Node 50	GO-MF-0016675:oxidoreductase activity, acting on a heme group of donors	7.144	KEGG-Module-M00258: Putative ABC transport system	7.144
Node 50	GO-MF-0016676:oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor	7.144	KEGG-Module-M00178: Ribosome, bacteria	6.734
Node 50	GO-MF-0015078:hydrogen ion transmembrane transporter activity	7.144	KEGG-Module-M00570: Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	6.451
Node 50	GO-MF-0015002:heme-copper terminal oxidase activity	7.144	KEGG-Pathway-pae00660: C5-Branched dibasic acid metabolism - Pseudomonas aeruginosa PAO1	5.864
